hrr,coef_m,pij_diff_cf,health_cf,health_base,n_cases,corr_fe_qual,fe_sd,fe_range,qual_sd,corr_realloc_qual,realloc_to_highq,realloc_to_lowq,fe_mean_highqual,fe_mean_lowqual,n_specs,alpha_used,eta
328,21.158608,.5253149,.0102264,.8952969,6832,,0,0,.0396887,.1812277,136.6011,-136.6011,0,0,55,21.15861,5
329,36.529802,.5316524,.0195989,.8996487,11078,,0,0,.0443652,.2009072,2099.246,-2099.246,0,0,90,36.5298,5
330,34.180193,.4468892,.0170659,.9018852,5200,,0,0,.0379971,.3623721,1217.499,-1217.499,0,0,46,34.18019,5
331,24.906076,.6470664,.0297271,.8848111,1013,,0,0,.0368975,.3526715,321.3099,-321.3099,0,0,18,24.90608,5
334,39.8815,.4844697,.0235017,.8966703,5718,,0,0,.0440543,.3452095,1007.057,-1007.057,0,0,76,39.8815,5
335,40.045026,.5269299,.0183817,.9087082,3230,,0,0,.0373008,.1972506,368.5695,-368.5695,0,0,51,40.04502,5
336,25.320111,.3935112,.0191995,.8944047,1060,,0,0,.0376396,.3701394,227.0578,-227.0578,0,0,23,25.32011,5
339,24.706884,.4582843,.0079977,.8967975,10177,,0,0,.0469442,.0940663,780.0814,-780.0814,0,0,77,24.70688,5
340,29.169988,.4239835,.0093237,.9015373,8140,,0,0,.0391494,.151128,246.6664,-246.6664,0,0,48,29.16999,5
341,25.980516,.0123177,-.0003702,.9328403,1594,,0,0,.0212516,,-19.63435,19.63435,0,0,,25.98052,5
342,82.24843,.7726628,.0339665,.9167358,2121,,0,0,.0220416,.6723557,1264.457,-1264.457,0,0,15,82.24843,5
343,58.260459,.3290294,.0071764,.9186702,2122,,0,0,.0225862,.3624741,28.87321,-28.87321,0,0,13,58.26046,5
344,41.181864,.5259208,.0127815,.9173912,2609,,0,0,.0540641,.1285592,844.9591,-844.9591,0,0,54,41.18187,5
345,43.297243,.5437446,.0160671,.9269758,504,,0,0,.0250682,.3795713,240.8894,-240.8894,0,0,12,43.29724,5
346,44.492592,.5194454,.0205735,.8982231,8123,,0,0,.0382018,.211112,2549.735,-2549.735,0,0,93,44.49259,5
347,44.911434,.5266974,.0211409,.8803635,1067,,0,0,.0213421,.7102564,389.1732,-389.1732,0,0,21,44.91143,5
350,51.310661,.2296158,.0078356,.9217005,2382,,0,0,.0273227,.3806562,277.3341,-277.3341,0,0,26,51.31066,5
