hrr,coef_m,pij_diff_cf,health_cf,health_base,n_cases,corr_fe_qual,fe_sd,fe_range,qual_sd,corr_realloc_qual,realloc_to_highq,realloc_to_lowq,fe_mean_highqual,fe_mean_lowqual,n_specs,eta
223,.11931319,.567822,-.0069069,.9040179,15565,.1011541,.9856691,5.293122,.0344152,-.0584215,-99.87146,99.87148,-.9854357,-1.261195,80,5
225,1.921e-18,.3731245,-.0014157,.8984506,4517,.0042704,4.215799,16.49805,.0391744,-.0306179,-75.36169,75.36176,-.725476,-1.944833,35,5
226,.13527532,.3006146,-.003013,.9028435,2663,.1963771,.9954115,4.041462,.0415476,-.0696982,-177.1866,177.1866,-1.505021,-1.750662,60,5
227,3.899e-34,.4457522,.000279,.9038106,21688,.2490945,1.11276,5.089239,.0439747,.0067476,477.8626,-477.8626,1.377607,.7278466,99,5
230,2.430e-23,.2702597,-.0001744,.9131502,3286,.2226676,2.741168,19.20231,.0409282,-.0119223,-16.42233,16.42234,1.074943,-.3715793,63,5
231,5.420e-84,.3220753,.0013122,.9096581,1086,.0705175,2.951233,18.11627,.036276,.0429555,21.84101,-21.841,.173184,-.6080918,61,5
232,.81243257,.4183146,-.0022062,.8934687,6105,.1868992,.7938511,4.126153,.0383313,-.0576522,-340.7742,340.7742,1.417734,1.229307,90,5
233,5.281e-17,.3474061,-.0044417,.8919693,2518,.4772545,1.029972,5.322963,.038127,-.1290613,-206.4776,206.4776,1.101667,.1561586,58,5
235,.59832801,.5473833,.0018719,.8871221,2963,.1891109,2.502924,16.7058,.0362718,.0168083,235.5047,-235.5047,-1.434121,-2.400676,72,5
236,.20043765,.3419377,.0041565,.9025839,2560,.0028759,3.287967,17.58447,.0367388,.1177519,145.5788,-145.5788,-1.945505,-.7290589,51,5
238,.18595604,.3260263,.0025831,.9014195,2768,.0313405,1.963389,16.13525,.0433619,.0643798,44.32258,-44.32258,2.360532,1.6006,69,5
239,.33993769,.2900469,-.0057064,.8979794,3664,.0340124,1.138758,5.043892,.0343894,-.1396405,-287.3426,287.3426,-.9892428,-1.135353,63,5
240,4.7187656,.013096,.0005559,.8568203,528,.493249,2.197958,6.258923,.0420448,.7027135,4.437193,-4.437191,-4.43296,-4.884427,,5
242,1.1182432,.1378154,.0018013,.9201397,1196,-.1060308,4.803873,16.44473,.0339612,.2468987,36.26525,-36.26525,-4.039433,-1.276053,18,5
243,1.3380244,.1225063,.0006965,.8927104,802,.7350643,1.210917,3.713178,.0411375,.1133574,-5.692059,5.692062,-.4236502,-2.274639,,5
