true_alpha,base_failure_rate,failure_sd,n_reps,bias,rel_bias,rmse,coverage_95,reject_null
0.4,0.05,0.03,34,0.3638158821590276,0.9095397053975689,0.6930046863088184,0.9705882352941176,0.09090909090909091
0.4,0.09,0.005,35,0.39406505431068184,0.9851626357767045,0.6809443963365147,0.9142857142857143,0.14285714285714285
0.4,0.09,0.01,39,0.3544573319281905,0.8861433298204762,0.6160302032680643,0.9743589743589743,0.07894736842105263
0.4,0.09,0.02,38,0.23079450711720256,0.5769862677930063,0.5543462781769696,0.9736842105263158,0.10526315789473684
0.4,0.09,0.03,34,0.3807494882798279,0.9518737206995698,0.7310003593511725,0.9411764705882353,0.11764705882352941
0.4,0.09,0.05,37,0.313848779157399,0.7846219478934974,0.6173739460713608,0.972972972972973,0.08108108108108109
0.4,0.09,0.08,32,0.33558909018934324,0.838972725473358,0.6447526359262248,0.90625,0.16666666666666666
0.4,0.15,0.005,38,0.24974861774911014,0.6243715443727753,0.49027090774324933,0.9736842105263158,0.21052631578947367
0.4,0.15,0.01,35,0.19929943791965413,0.49824859479913536,0.5029142239172424,0.9714285714285714,0.17142857142857143
0.4,0.15,0.02,42,0.30352590955075487,0.7588147738768871,0.497205026678338,1,0.19047619047619047
0.4,0.15,0.03,42,0.279592351675992,0.69898087918998,0.4708442149821419,1,0.16666666666666666
0.4,0.15,0.05,38,0.20733049108604046,0.5183262277151012,0.4410321332917957,0.9736842105263158,0.13513513513513514
0.4,0.15,0.08,36,0.3043631633302351,0.7609079083255877,0.5581034031303626,0.9444444444444444,0.19444444444444445
0.4,0.2,0.005,44,0.20341726505984617,0.5085431626496154,0.472486807131629,0.9318181818181818,0.20454545454545456
